"","AY111","AY125","AY126","AY129","AY138","AY142","AY159","AY191","AY198","AY207","AY208","AY218","AY224","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY268","AY284","AY289","AY29","AY293","AY300","AY309","AY328","AY331","AY339","AY353","AY365","AY37","AY381","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY457","AY458","AY459","AY46","AY465","AY466","AY487","AY489","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY571","AY572","AY574","AY586","AY595","AY601"
"D-rep3",NA,NA,NA,NA,21.78,NA,15.63,9.56,11.52,14.82,19.46,10.24,13.71,9.77,7.34,9.56,11.16,9.65,11.73,7.06,13.18,NA,7.7,13.24,7.41,6.42,6.22,14.42,9.16,16.23,16.07,8.5,8.34,NA,NA,11.21,8.98,10.32,12.29,20.17,NA,13.32,NA,11.52,19.54,6.74,5.44,NA,NA,9.63,9.88,12.49,11,NA,10.7,7.42,7.69,12.29,8.24,18.6,3.31,13.1,12.37,NA,7.26,8.06,NA,NA,NA
"E-rep1",8.79,NA,NA,NA,NA,13,16.64,10.07,13.74,15.01,NA,9.86,NA,9.92,7.37,9.32,10.01,9.37,11.37,7.31,NA,15,8.21,14.53,7.38,6.75,6.94,12.77,9.31,NA,17.12,8.33,8.36,NA,14.19,10.65,8.66,9.63,12.16,22.09,NA,NA,NA,NA,13.12,7.07,5.44,15.28,14.75,9.78,9.61,13.04,10.84,NA,9.62,7.47,7.73,13.54,8.32,16.99,3.13,12,11.64,NA,7.37,9.69,NA,12.19,16.65
"E-rep2",8.73,NA,NA,NA,NA,NA,17.24,9.19,13.06,14.57,NA,10.1,12.62,10.15,7.46,9.74,10.19,9.6,11.6,7.31,14.24,15.75,8.11,17.18,7.3,6.88,6.78,13.63,9.1,NA,NA,8.65,8.77,NA,NA,10.39,8.82,10.2,13.74,NA,NA,NA,NA,10.68,14.06,6.97,5.62,15.1,15.47,9.81,9.87,12.75,11.24,13.46,11.61,7.52,7.62,12.86,8.33,17.16,2.9,12.32,12.47,NA,7.61,9.19,NA,13.06,18.26
"E-rep3",NA,NA,NA,NA,NA,13.86,16.06,9.38,12.9,15.84,NA,9.83,15.51,9.51,NA,9.38,10.03,9.64,11.64,7.03,13.95,NA,7.82,16.21,6.9,6.58,6.88,13.74,9.03,NA,15.92,8.28,8.43,NA,14.22,9.99,8.85,10.08,11.89,18.49,NA,NA,NA,11.07,13.88,7.03,5.43,NA,20.12,9.69,9.94,13.42,10.75,14.4,10.7,NA,7.54,12.55,8.59,19.91,2.97,12.33,12.67,NA,7.16,9.31,NA,13.03,17.72
"F-rep1",9.43,16.7,15.74,NA,NA,12.86,NA,8.51,12.31,NA,NA,9.67,NA,9.74,7.05,9.25,10.23,9.48,11.39,6.96,14.97,13.28,8.08,16.77,7.39,6.56,6.77,12.66,9.04,NA,15.82,8.38,8.37,NA,NA,9.87,8.96,10.34,13.14,NA,NA,NA,NA,NA,14.15,6.96,5.12,NA,NA,9.62,9.73,12.75,9.84,14.67,NA,7.4,7.39,13.72,8.95,19.78,2.7,12.71,11.44,11.83,7.73,9.21,NA,14.44,NA
"F-rep2",8.98,15.01,18.67,NA,NA,12.22,NA,9.07,12.41,14.9,NA,9.82,NA,9.2,7.36,9.02,10.27,8.99,11.59,7.16,16.1,13.85,8.06,14.34,6.71,6.59,6.82,12.39,8.79,NA,NA,8.13,8.73,NA,13.9,10.42,8.44,9.56,11.62,NA,NA,NA,NA,NA,14.88,6.53,5.32,16.6,NA,9.55,9.13,12.79,10.81,14.11,11.07,7.36,7.59,11.66,8.22,18.91,2.84,12.02,11.55,11.49,7.74,9.01,NA,NA,NA
"F-rep3",NA,NA,16.23,NA,NA,12.94,NA,8.81,11.8,15.94,NA,9.5,NA,9.8,7.4,9.55,10.03,9.22,11.52,6.9,NA,15.96,8.06,13.76,7.2,6.65,6.74,11.87,9.18,NA,16.74,8.05,8.67,NA,15.18,10.31,8.9,9.49,12.09,NA,NA,NA,NA,NA,NA,6.85,5.03,16.95,NA,9.18,9.69,12.51,10.8,14.03,10.76,7.36,6.92,11.07,8.64,NA,2.97,11.28,11.2,11.77,7.68,9.22,NA,13.64,NA
"G-rep1",NA,NA,NA,NA,NA,20.51,NA,9.71,13.52,19.74,NA,9.88,13.33,9.47,7.76,8.63,10.1,9.03,11.02,6.95,16.35,NA,7.86,15.77,7.35,6.59,6.82,15.82,9.29,14.32,NA,9.16,8.52,NA,14.75,9.85,9.09,10.3,12.24,NA,NA,NA,NA,11.29,20.71,8.87,5.19,19.83,NA,9.47,9.9,12.8,10.52,13.27,10.87,7.73,8.15,13.56,8.03,NA,4.75,NA,11.9,13.42,7.05,9.33,NA,12.49,NA
"G-rep2",NA,NA,13.53,NA,15.76,NA,NA,9.09,14.47,15.21,NA,9.56,13.72,9.69,7.72,8.66,10.81,8.86,11.11,6.72,12.97,NA,7.62,NA,7.03,6.44,6.39,15.21,9.43,14.79,NA,9.06,8.12,NA,16.28,9.56,8.72,9.99,NA,NA,NA,NA,NA,NA,13.97,8.98,4.96,NA,15.6,9.15,9.38,12.35,10.19,NA,NA,7.47,7.78,16.63,8.42,NA,4.51,NA,11.34,13.41,6.8,9.61,NA,13.94,NA
"G-rep3",NA,NA,14.67,NA,17.88,18.12,NA,9.02,NA,NA,NA,9.57,14.58,9.44,7.52,8.71,10.2,9.21,10.63,7.06,14.33,NA,7.77,12.88,6.17,6.22,6.72,13.96,8.99,NA,NA,8.84,8.22,NA,NA,10.31,8.95,9.34,12.28,NA,NA,NA,NA,11.07,19.72,9.31,5.12,15.27,19.88,9.21,10.05,13.08,10.27,13.47,9.93,7.75,8.05,13.35,9.12,NA,4.51,NA,11.83,13.14,7.15,8.68,NA,13.62,NA
